Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	tree_length
0	-786.5972	-857.0845	70.48726	0.110085	0.0283813	0.0512357	0.131509	0.0143707	0.0230472	0.00254768	0.00533023	0.00756175	0.0173661	0.057933	0.0327752	0.0401521	0.0258733	0.0720792	0.0235236	0.0108791	0.0597655	0.0883909	0.0981789	0.0165008	0.0306677	0.00577078	0.0148291	0.0148009	0.011439	0.0232096	0.11384	0.0110079	0.0781208	0.0949	0.0870996	0.0127898	0.165374	0.00156719	0.0938082	0.0107188	0.0702753	0.0606264	0.0166642	0.0814061	0.00925042	0.0309421	0.000295797	0.0398863	0.00271086	0.150513	0.00371027	0.0227132	0.0971531	0.0134494	1.1304	0.946874	0.120802	0.356718	0.724993	1.37932	2.80333	8.27799	1.528279	0.4863725	0.0481344	0.0124097	0.0224028	0.0575023	0.00628358	0.0100774	0.00111397	0.00233064	0.00330637	0.00759332	0.0253311	0.0143309	0.0175565	0.0113131	0.0315165	0.0102857	0.0047569	0.0261324	0.0386488	0.0429286	0.00721494	0.0134094	0.00252327	0.006484	0.00647169	0.00500169	0.0101484	0.0497764	0.0048132	0.0341583	0.0414949	0.0380842	0.00559233	0.0723097	0.000685253	0.0410176	0.00468678	0.0307278	0.0265088	0.00728639	0.0355947	0.00404474	0.0135294	0.000129337	0.0174402	0.00118532	0.0658117	0.00162231	0.00993131	0.0424801	0.00588072	2.287026
36	-779.3081	-851.7625	72.45439	0.0578644	0.0184217	0.0738935	0.0472483	0.00432743	0.0105631	0.010974	0.00403901	0.00137771	0.00816657	0.0209724	0.00909703	0.0177565	0.00367093	0.0377271	0.0204112	0.00141197	0.0316428	0.0232319	0.0329853	0.00872913	0.00734485	0.00201568	0.0331323	0.00916649	0.0179127	0.0266213	0.042299	0.0103322	0.039384	0.0502034	0.0353459	0.0187279	0.176835	0.00952087	0.0427051	0.0265576	0.0274725	0.0154434	0.00282367	0.0147204	0.00339008	0.0221274	0.0136654	0.0192022	0.0109725	0.113374	0.0106157	0.0173024	0.0288614	0.00999737	0.19793	1.32677	0.0524567	0.237489	0.638576	1.56599	4.21072	19.0634	2.131439	0.06077781	0.0444228	0.0141424	0.0567284	0.0362727	0.00332219	0.00810935	0.00842475	0.00310077	0.00105767	0.00626951	0.0161006	0.00698384	0.0136317	0.00281819	0.0289632	0.0156698	0.00108398	0.0242923	0.0178352	0.025323	0.00670139	0.00563868	0.00154745	0.0254358	0.00703716	0.0137516	0.0204373	0.0324731	0.00793211	0.0302353	0.0385414	0.0271352	0.0143775	0.135757	0.00730922	0.0327849	0.0203884	0.0210908	0.0118559	0.00216774	0.0113009	0.00260258	0.0169873	0.010491	0.0147416	0.00842366	0.0870376	0.00814975	0.0132832	0.022157	0.00767502	1.302584
72	-781.3824	-853.3883	72.00586	0.0490386	0.117043	0.00696139	0.0260941	0.0116118	0.0106669	0.0156314	0.00404393	0.0160702	0.0547393	0.0533229	0.00726744	0.0172428	0.000503113	0.0468577	0.00758921	0.00912345	0.0359585	0.0265509	0.037182	0.00562528	0.00784639	0.00363532	0.0357453	0.0045226	0.00509601	0.0144681	0.0385345	0.000112227	0.0679176	0.060287	0.0345157	0.0154753	0.251885	0.00410682	0.00960215	0.0262383	0.0349518	0.0169699	0.00787861	0.0209678	0.00673623	0.0394219	0.0158765	0.0300476	0.00941533	0.113547	0.00385629	0.0246457	0.0772842	0.0142403	0.626756	1.15206	0.101369	0.327474	0.705901	1.41663	3.05368	9.86499	1.655099	0.2216416	0.0315371	0.075271	0.00447692	0.0167813	0.0074676	0.00685993	0.0100526	0.00260068	0.0103349	0.0352032	0.0342923	0.00467375	0.011089	0.000323556	0.0301345	0.00488067	0.00586735	0.0231252	0.0170751	0.023912	0.00361766	0.00504607	0.0023379	0.0229881	0.00290852	0.00327728	0.00930454	0.0247818	7.2174e-05	0.0436783	0.038771	0.0221973	0.00995228	0.161989	0.00264112	0.00617521	0.016874	0.0224778	0.0109134	0.00506679	0.0134846	0.00433212	0.0253525	0.0102103	0.0193239	0.00605507	0.0730229	0.00248001	0.0158498	0.049702	0.00915804	1.554951
108	-791.851	-863.9999	72.14897	0.00861797	0.0818602	0.0248944	0.0352292	0.00138881	0.0157113	0.00244924	0.00372679	0.00228579	0.0150006	0.00295548	0.00357256	0.000616398	3.14538e-05	0.0140663	0.0103775	0.018159	0.0378425	0.0120953	0.0422897	0.0127859	0.0263975	0.00258686	0.0543602	0.0290084	0.0229886	0.0195703	0.00429151	0.00844718	0.0131817	4.59003e-05	0.0271669	0.0024489	0.0125887	0.0579159	0.0066062	0.116853	0.0111217	0.00694366	0.0146343	0.0214344	0.0305484	0.000530536	0.0316081	0.00351017	0.00646282	0.00197525	0.00941638	0.0214557	0.0112323	0.029357	0.774411	1.09191	0.0583487	0.250144	0.649003	1.54083	3.9977	17.1384	2.054469	0.2889448	0.00906539	0.0861101	0.0261868	0.0370582	0.00146091	0.0165269	0.0025764	0.00392027	0.00240446	0.0157794	0.00310892	0.00375804	0.0006484	3.30868e-05	0.0147966	0.0109163	0.0191018	0.0398071	0.0127232	0.0444853	0.0134497	0.027768	0.00272116	0.0571824	0.0305144	0.0241822	0.0205864	0.00451431	0.00888573	0.013866	4.82833e-05	0.0285773	0.00257604	0.0132423	0.0609228	0.00694917	0.12292	0.0116991	0.00730415	0.0153941	0.0225472	0.0321344	0.00055808	0.0332491	0.00369241	0.00679835	0.00207779	0.00990525	0.0225696	0.0118154	0.0308811	0.9506453
144	-773.5136	-845.8678	72.3542	0.073336	0.0575668	0.0252498	0.125272	0.00623214	0.00247939	0.00496574	0.00163079	0.00390582	0.0245616	0.0132244	0.00120687	0.00268661	0.00326013	0.0172441	0.00316607	0.00738774	0.0183329	0.0180458	0.0374081	0.000278958	0.020905	0.0188983	0.0996877	0.00812458	0.0106532	0.0249999	0.00978633	0.00884065	0.0146781	0.000196719	0.0287522	0.00991183	0.018782	0.0918	0.00346853	0.124484	0.0128146	0.0140733	0.0118643	0.0244109	0.0358886	0.0301712	0.0324547	0.01489	0.0110645	0.0153909	0.00728002	0.0281292	0.00771829	0.00411577	0.385097	1.25052	0.0562103	0.24563	0.645326	1.5496	4.07116	17.7903	2.081466	0.1254613	0.0615401	0.0483074	0.0211884	0.105123	0.00522972	0.00208059	0.00416701	0.00136848	0.00327758	0.020611	0.0110973	0.00101275	0.00225447	0.00273575	0.0144704	0.00265681	0.00619945	0.0153841	0.0151432	0.0313911	0.000234089	0.0175425	0.0158586	0.0836533	0.00681776	0.00893963	0.0209788	0.00821223	0.00741866	0.0123171	0.000165077	0.0241275	0.00831754	0.015761	0.0770342	0.00291063	0.104461	0.0107534	0.0118096	0.00995599	0.0204845	0.030116	0.0253183	0.0272345	0.012495	0.0092848	0.0129153	0.00610905	0.0236047	0.00647682	0.00345376	1.191678
180	-783.1704	-855.0237	71.85328	0.131203	0.0119083	0.0994318	0.0789928	0.0112893	0.00286706	0.00975582	0.0254227	0.00703189	0.0186115	0.02078	0.000700455	0.017728	0.0189159	0.0494789	0.019299	0.0150994	0.00444632	0.0107508	0.0417337	0.0402472	0.0372261	0.00243019	0.0264766	0.000378124	0.0487421	0.0604797	0.0244438	0.000777638	0.122675	0.0217587	0.0255765	0.0200129	0.15185	0.00482563	0.0420936	0.0342066	0.0473542	0.0285307	0.0470896	0.0279577	0.0682257	0.0269046	0.00502185	0.0121613	0.00991998	0.0140065	0.049836	0.0565137	0.0374089	0.00379039	0.58027	1.171	0.0990499	0.323799	0.70342	1.42162	3.08834	10.0959	1.67183	0.2018839	0.0774346	0.00702815	0.0586837	0.0466208	0.00666283	0.00169211	0.00575779	0.0150042	0.00415016	0.0109844	0.0122641	0.000413402	0.0104629	0.011164	0.029202	0.0113901	0.00891155	0.00262418	0.006345	0.0246308	0.0237536	0.0219705	0.00143428	0.0156262	0.000223165	0.0287672	0.0356945	0.0144265	0.000458955	0.0724016	0.0128418	0.015095	0.0118114	0.0896203	0.00284805	0.0248432	0.0201884	0.027948	0.0168385	0.0277919	0.0165004	0.0402662	0.0158789	0.00296385	0.0071775	0.00585468	0.00826652	0.0294127	0.0333539	0.0220784	0.00223705	1.694367
216	-773.5023	-846.1446	72.6423	0.0603327	0.00227849	0.0629046	0.0589084	0.00297952	0.00529415	0.000824025	0.00102012	0.00178349	0.0180225	0.000916492	0.00229404	0.00196094	0.00411119	0.0282498	0.00783835	0.0118929	0.0176061	0.0125148	0.0609096	0.011045	0.0358165	0.0285032	0.0339992	0.00713592	0.00512028	0.0236597	0.0179886	0.00941186	0.0151819	0.00415542	0.0353471	0.0141064	0.0907605	0.0472116	0.011057	0.140742	0.0199388	0.00983803	0.0170194	0.0244244	0.0235026	0.0238163	0.00650101	0.039455	0.00718389	0.00283865	0.0121747	0.029116	0.013354	0.0584507	0.297511	1.2862	0.0690628	0.271579	0.665865	1.50181	3.68217	14.4796	1.932575	0.09423738	0.0510646	0.00192847	0.0532415	0.0498591	0.00252182	0.00448088	0.000697441	0.000863417	0.00150952	0.0152539	0.000775704	0.00194164	0.00165971	0.00347964	0.0239101	0.00663425	0.0100659	0.0149015	0.0105923	0.0515529	0.00934828	0.0303145	0.0241247	0.0287763	0.00603973	0.00433372	0.0200252	0.0152253	0.00796605	0.0128497	0.00351708	0.0299172	0.0119394	0.0768182	0.0399591	0.00935846	0.119121	0.0168759	0.00832674	0.014405	0.0206724	0.0198922	0.0201577	0.00550235	0.0333941	0.00608032	0.00240258	0.0103045	0.0246433	0.0113026	0.0494717	1.181497
252	-777.7399	-849.9367	72.19684	0.13043	0.00139817	0.0629927	0.00812745	0.00358919	0.00309793	0.00398203	0.00665833	0.00820135	0.0151235	0.00375958	0.00157681	0.0087899	0.00166662	0.0291401	0.0170982	0.0109698	0.028073	0.01379	0.0363125	0.0189334	0.00522081	0.0109467	0.0334167	0.00470816	0.00227052	0.00552616	0.0312865	0.00636669	0.0243232	0.00251207	0.0332078	0.00681318	0.100173	0.0143418	0.0165718	0.0836066	0.00293369	0.0149755	0.0197531	0.0321324	0.0119573	0.0330236	0.00366155	0.00746607	0.00279668	0.0127008	0.0277089	0.0291115	0.0108155	0.0219585	0.694847	1.12432	0.060798	0.255211	0.653076	1.53122	3.91832	16.4479	2.024737	0.2517837	0.127125	0.00136274	0.0613965	0.00792151	0.00349825	0.00301944	0.00388113	0.00648962	0.00799354	0.0147403	0.00366432	0.00153685	0.00856718	0.00162439	0.0284017	0.0166649	0.0106918	0.0273617	0.0134406	0.0353924	0.0184536	0.00508852	0.0106693	0.03257	0.00458886	0.00221299	0.00538613	0.0304937	0.00620537	0.0237069	0.00244842	0.0323663	0.00664055	0.0976352	0.0139784	0.0161519	0.0814882	0.00285936	0.0145961	0.0192526	0.0313182	0.0116543	0.0321869	0.00356877	0.00727689	0.00272582	0.0123789	0.0270068	0.0283739	0.0105414	0.0214021	1.025997
288	-776.5716	-848.0304	71.45876	0.094675	0.00300299	0.0576476	0.00942373	0.0065454	0.00194237	0.0033271	0.015841	0.00293702	0.0180993	0.00279847	0.00300533	0.00641914	0.00628623	0.0492056	0.0182443	0.00802934	0.0326626	0.0173914	0.0851503	0.0421859	0.0282247	0.0183632	0.0332259	0.0254107	0.00296741	0.00351063	0.0188622	0.0157333	0.00734734	0.00294352	0.0733161	0.0549266	0.140577	0.00447822	0.00477868	0.162158	0.000482174	0.015905	0.0841148	0.053439	0.0118582	0.0030929	0.0272356	0.012376	0.0329811	0.0215537	0.00675563	0.0481873	0.029321	0.00360914	0.889696	1.04494	0.0578455	0.24909	0.648148	1.54286	4.01462	17.2874	2.060732	0.3468806	0.0660882	0.00209624	0.0402411	0.00657826	0.00456904	0.00135588	0.0023225	0.0110579	0.0020502	0.0126343	0.00195348	0.00209788	0.0044809	0.00438813	0.0343481	0.0127355	0.00560491	0.0228002	0.0121401	0.0594395	0.029448	0.0197023	0.0128185	0.0231935	0.0177381	0.00207141	0.00245061	0.0131668	0.0109827	0.00512883	0.00205473	0.0511785	0.0383417	0.0981303	0.00312603	0.00333577	0.113195	0.000336583	0.0111025	0.0587166	0.0373032	0.00827766	0.00215901	0.0190119	0.00863912	0.0230226	0.0150456	0.00471579	0.0336373	0.0204676	0.00251937	1.432555
324	-779.3185	-852.0402	72.72172	0.0224158	0.000325127	0.0464738	0.0764497	0.000599252	0.00681332	0.00253152	0.00125346	0.00364187	0.0182519	0.0148659	0.00576196	0.00179269	0.00809741	0.0423499	0.0155248	0.000571995	0.030013	0.0370678	0.0126544	0.023657	0.0264675	0.0155798	0.0104708	0.010507	0.00580951	0.00881933	0.0126854	0.0092714	0.00882642	0.0291795	0.0131335	0.0417924	0.0839034	0.0361615	0.0132341	0.149289	0.00608675	0.00547801	0.0226251	0.0164042	0.00713246	0.00883985	0.034941	0.0142427	0.0252966	0.0154804	0.00945314	0.0249526	0.0257173	0.0199051	0.43981	1.22823	0.087621	0.305005	0.69042	1.44839	3.27863	11.4128	1.760481	0.1458868	0.0207017	0.000300265	0.0429201	0.0706038	0.000553429	0.00629232	0.00233794	0.00115762	0.00336339	0.0168563	0.0137291	0.00532136	0.00165561	0.00747822	0.0391116	0.0143377	0.000528256	0.027718	0.0342333	0.0116867	0.0218481	0.0244436	0.0143885	0.00967011	0.00970354	0.00536527	0.00814494	0.0117153	0.00856244	0.00815149	0.0269483	0.0121292	0.0385967	0.0774876	0.0333964	0.0122221	0.137873	0.00562132	0.00505912	0.020895	0.0151498	0.00658706	0.0081639	0.0322692	0.0131536	0.0233622	0.0142967	0.00873029	0.0230446	0.0237508	0.018383	1.082798
